article_topic,sentence
Van Nistelrooy leaves Man Utd as Amorim takes charge,Ruud van Nistelrooy will not be part of Ruben Amorim's coaching staff and has left Manchester United.
Van Nistelrooy leaves Man Utd as Amorim takes charge,Van Nistelrooy was appointed as assistant manager in the summer and became interim head coach when former United boss Erik ten Hag was sacked last month.
Van Nistelrooy leaves Man Utd as Amorim takes charge,"He signed off in style bybeating Leicester 3-0at Old Trafford on Sunday to stay unbeaten in his four games in charge, but the club confirmed his departure on Monday as Amorim arrived to begin his time at the helm."
Van Nistelrooy leaves Man Utd as Amorim takes charge,"""Ruud is and always will be a Manchester United legend,"" the club said."
Van Nistelrooy leaves Man Utd as Amorim takes charge,"""We are grateful for his contribution and the way in which he approached his role throughout his time with the club."
Van Nistelrooy leaves Man Utd as Amorim takes charge,He will always be very welcome at Old Trafford.
Van Nistelrooy leaves Man Utd as Amorim takes charge,"""Assistant manager Rene Hake, goalkeeping coach Jelle ten Rouwelaar and analyst Pieter Morel have also left the club."
Van Nistelrooy leaves Man Utd as Amorim takes charge,This was the first big call for Amorim to make as United boss and he acted decisively.
Van Nistelrooy leaves Man Utd as Amorim takes charge,"Van Nistelrooy made it clear he would like to continue helping at Old Trafford and had the backing of the players, but Amorim wasted no time in jettisoning a club legend."
Van Nistelrooy leaves Man Utd as Amorim takes charge,It was always going to be difficult for Van Nistelrooy to be kept on after saying he would one day like the job that Amorim has just taken up.
Van Nistelrooy leaves Man Utd as Amorim takes charge,We saw under Ten Hag that the presence of Van Nistelrooy in the dugout always felt ominous.
Van Nistelrooy leaves Man Utd as Amorim takes charge,"This was the man in charge of PSV, one of Netherlands' biggest clubs, as recently as last year."
Van Nistelrooy leaves Man Utd as Amorim takes charge,Van Nistelrooy feels like a head coach.
Van Nistelrooy leaves Man Utd as Amorim takes charge,His impressive handling of the situation he inherited from Ten Hag had only added to his plausibility as such.
Van Nistelrooy leaves Man Utd as Amorim takes charge,"Van Nistelrooy, particularly in his dealings with the media, almost did too well."
Van Nistelrooy leaves Man Utd as Amorim takes charge,Keeping him on may have brought added pressure for Amorim.
Van Nistelrooy leaves Man Utd as Amorim takes charge,"Amorim is also expected to bring a whole team of his own people from Sporting, leaving it unclear where Van Nistelrooy would have fitted had he stayed."
Van Nistelrooy leaves Man Utd as Amorim takes charge,"The Dutchman wanted to help, but would he have been happy on the periphery?"
Van Nistelrooy leaves Man Utd as Amorim takes charge,"There is, of course, the argument Van Nistelrooy knows the club well and has had a first-hand view of the squad since the summer, so could have been invaluable to Amorim, at the very least in the short-term."
