article_topic,sentence,label
"Carsley offers Arsenal injury boost after Saka leaves England camp","Bukayo Saka has left the England training camp and returned to Arsenal for further assessment on the injury he picked up against Greece.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","The Arsenal winger limped off during the second half of Thursday's defeat to Greece at Wembley and will not feature in England's Nations League clash with Finland on Sunday.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Bukayo would have been close but it would have been unfair to take a risk with him, he said.","1"
"Carsley offers Arsenal injury boost after Saka leaves England camp","He's a positive person and I expect him to be fine.","1"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Saka continues to be assessed by the Arsenal medical team after arriving back with the club on Saturday morning.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Jones was a late addition to the England squad ahead of the Greece game but was an unused substitute.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Kane could not overcome a knock picked up playing for Bayern Munich in time to feature against Greece and his absence prompted Carsley to deploy an attacking line-up featuring Jude Bellingham, Phil Foden, Saka, Cole Palmer and Anthony Gordon.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","It backfired as Greece won 2-1 to take control of League B Group 2, leaving England no room for any more slip-ups if they want to win the group and return to League A automatically.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Saka will return to Arsenal for further assessment on what looks like a hamstring injury he suffered against Greece.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","It's not a surprise after the winger was substituted after 51 minutes last Thursday holding his right hamstring.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","A penny for Mikel Arteta's thoughts.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","The last two international breaks have seen him lose his captain Martin Odegaard with Norway and now Saka, who is probably going to be an injury doubt for the trip to the Vitality Stadium to face Bournemouth.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Arsenal showed through how they reacted to Martin Odegaard's injury - they remain unbeaten despite losing their captain and talisman - that nobody is irreplaceable.","1"
"Carsley offers Arsenal injury boost after Saka leaves England camp","But the context that Saka and Arsenal are in right now: losing the England winger for any period of time would be a huge blow.","1"
"Carsley offers Arsenal injury boost after Saka leaves England camp","The 23-year-old has begun this season with seven assists in seven league games.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","It is not just the best record in Europe this season.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","It is actually among the very best starts to the season any Premier League player has had from an assist point of view.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Arsenal have managed the absence of Saka last season - they played three matches without him and won them all, including a home game against Manchester City.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","But with Odegaard confirmed to be out until November and Kai Havertz having knee issues with forced him out of Germany's Nations League squad, Arsenal run the risk of being without their key attacking players ahead of a huge game at home to Liverpool on October 27, live on Sky Sports.","0"
"Carsley offers Arsenal injury boost after Saka leaves England camp","Arsenal can deal with the odd big injury every now and again - but two or three...","1"
"QUIZ: Know the PL? Draw every club's all-time league positions","Manchester United manager Erik ten Hag is under pressure with his side languishing in 14th spot on eight points after seven games - their fewest points at this stage in a campaign since 198990, when they finished 13th.","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","In contrast, rivals Liverpool are leading the way under Arne Slot and have increasingly emerged as potential title challengers, alongside Manchester City and Arsenal - having won their first Premier League crown in 201920.","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","But could you draw your club's league positions over the past 31 seasons?","1"
"QUIZ: Know the PL? Draw every club's all-time league positions","How close would you be to perfection?","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","Indeed, could you draw every club's league positions during that period?","1"
"QUIZ: Know the PL? Draw every club's all-time league positions","From the teams that have dominated the upper rungs throughout the Premier League era to those that have risen from the depths, or nosedived into the fourth tier and bounced back, it's time to test your knowledge.","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","Continue the line on the chart below to draw every season-ending league position from 1995 through to last season and use the arrow button to scroll through all 20 current Premier League teams.","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","We've given you a headstart, providing the season-ending positions in 1993 and 1994.","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","Don't worry if you make a mistake, just tap or click on the incorrect point to amend it.","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","Hit 'I'm done!'","0"
"QUIZ: Know the PL? Draw every club's all-time league positions","when you're happy and see how your knowledge fares...","0"
"Klopp speaks as he lines up return to football... but not as a coach!","The former Liverpool manager has signed a long-term contract and will start his new role on January 1 next year.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","He will be responsible at the strategic management level for Red Bull's international network of clubs.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","These include RB Leipzig, Red Bull Salzburg, and New York Red Bulls among others.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Red Bull CEO Oliver Mintzlaff is largely responsible for what is seen as a coup for the company.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","After his unveiling, Klopp said: After almost 25 years on the sideline, I could not be more excited to get involved in a project like this.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","The role may have changed but my passion for football and the people who make the game what it is has not.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","By joining Red Bull at a global level, I want to develop, improve and support the incredible football talent that we have at our disposal.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","There are many ways that we can do this front using the elite knowledge and experience that Red Bull possesses to learning from other sports and other industries.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","Together we can discover what is possible.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","I see my role primarily as a mentor for the coaches and management of the Red Bull clubs but ultimately, I am one part of an organisation that is unique, innovative and forward looking.","1"
"Klopp speaks as he lines up return to football... but not as a coach!","As I said, this could not excite me more.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","Klopp has been on a break since leaving Liverpool at the end of last season, after a reign at Anfield lasting almost nine years.","0"
"Klopp speaks as he lines up return to football... but not as a coach!","During his time on Merseyside, the German won every domestic and continental competition with the club, ending a 30-year wait for a league trophy in 2020.","0"
